domain,macro_rds,macro_f1,mean_tokens,dag_richness
Dementia,0.00202297,0.4601,240.1,126.635
algebra-1,0.00196758,0.438,244.7,158.2041
asl-book,0.00182494,0.3778,239.7,426.6667
automating-instructional-design,0.00202826,0.465,248.1,64.6556
bioinformatics,0.00180064,0.4655,304.8,138.4905
biology,0.00172274,0.4964,362.3,234.2153
blockchain,0.00189313,0.4666,286.0,116.2223
calculus,0.00169754,0.4413,299.3,249.5207
chemistry,0.00177781,0.4769,338.4,319.0104
circuits,0.00176574,0.4689,312.4,295.5857
computer-science,0.00181073,0.4373,276.7,387.2
conversational-ai,0.00193201,0.4248,232.2,59.3157
data-science-course,0.00172662,0.4127,263.2,215.3307
digital-citizenship,0.00199051,0.4576,267.3,225.3928
digital-electronics,0.00183214,0.4623,300.5,154.4813
ecology,0.00188205,0.4559,288.4,190.1759
economics-course,0.00177203,0.4166,276.0,253.574
ethics-course,0.00171049,0.435,297.3,141.0968
fft-benchmarking,0.0020297,0.4879,270.2,81.3871
functions,0.00190962,0.4643,280.9,97.011
genetics,0.00185306,0.4654,304.9,111.639
geometry-course,0.00191706,0.4339,254.2,123.7032
infographics,0.00214884,0.5019,267.7,84.7646
intro-to-graph,0.00189411,0.4513,260.4,128.8013
intro-to-physics-course,0.00200016,0.4464,244.2,82.0455
it-management-graph,0.00195491,0.4186,230.1,42.8099
learning-linux,0.002016,0.4628,264.7,311.7488
linear-algebra,0.00178254,0.4496,287.6,255.2522
machine-learning-textbook,0.00198598,0.4379,246.0,316.3674
microsims,0.00209587,0.4834,258.1,114.8816
modeling-healthcare-data,0.0019165,0.4373,247.7,131.8599
moss,0.00200986,0.5011,300.2,70.5265
organizational-analytics,0.00190518,0.4672,271.1,122.551
personal-finance,0.00196361,0.4457,248.3,74.4922
pre-calc,0.00182821,0.4727,310.2,221.9281
prompt-class,0.00183532,0.4934,308.0,506.0095
quantum-computing,0.00135944,0.3745,308.6,75.2016
reading-for-kindergarten,0.00203158,0.4624,243.0,134.6913
signal-processing,0.00180113,0.4115,248.4,260.0152
statistics-course,0.00182995,0.4434,289.7,264.6
systems-thinking,0.0016213,0.3575,231.1,147.0025
theory-of-knowledge,0.00174042,0.4182,283.5,444.6296
tracking-ai-course,0.00190418,0.4522,314.3,393.2738
us-geography,0.00213282,0.456,237.9,477.3371
