system,domain,n_queries,macro_f1,macro_rds,mean_tokens,total_cost_usd,mean_cur,mean_cpca
ckg,Dementia,175,0.4601,0.00202297,240.1,0.2668,0.1161,0.005386
ckg,algebra-1,175,0.438,0.00196758,244.7,0.2776,0.1313,0.006318
ckg,asl-book,164,0.3778,0.00182494,239.7,0.2419,0.1328,0.006463
ckg,automating-instructional-design,175,0.465,0.00202826,248.1,0.2774,0.1297,0.005272
ckg,bioinformatics,177,0.4655,0.00180064,304.8,0.3454,0.1409,0.006849
ckg,biology,175,0.4964,0.00172274,362.3,0.3964,0.1556,0.009461
ckg,blockchain,176,0.4666,0.00189313,286.0,0.3349,0.1471,0.008424
ckg,calculus,180,0.4413,0.00169754,299.3,0.3643,0.1389,0.006938
ckg,chemistry,177,0.4769,0.00177781,338.4,0.3791,0.1508,0.00743
ckg,circuits,175,0.4689,0.00176574,312.4,0.3594,0.1447,0.009029
ckg,computer-science,178,0.4373,0.00181073,276.7,0.3228,0.1465,0.006794
ckg,conversational-ai,176,0.4248,0.00193201,232.2,0.2676,0.1308,0.005375
ckg,data-science-course,178,0.4127,0.00172662,263.2,0.3083,0.139,0.008067
ckg,digital-citizenship,172,0.4576,0.00199051,267.3,0.2942,0.1513,0.006602
ckg,digital-electronics,174,0.4623,0.00183214,300.5,0.347,0.1523,0.007822
ckg,ecology,176,0.4559,0.00188205,288.4,0.3281,0.1327,0.007967
ckg,economics-course,176,0.4166,0.00177203,276.0,0.3342,0.1421,0.009356
ckg,ethics-course,176,0.435,0.00171049,297.3,0.3589,0.1431,0.008391
ckg,fft-benchmarking,175,0.4879,0.0020297,270.2,0.3027,0.149,0.006108
ckg,functions,176,0.4643,0.00190962,280.9,0.3296,0.1505,0.00825
ckg,genetics,177,0.4654,0.00185306,304.9,0.352,0.1261,0.007593
ckg,geometry-course,175,0.4339,0.00191706,254.2,0.2936,0.1275,0.006772
ckg,infographics,177,0.5019,0.00214884,267.7,0.2914,0.1409,0.00481
ckg,intro-to-graph,175,0.4513,0.00189411,260.4,0.2924,0.1489,0.006594
ckg,intro-to-physics-course,175,0.4464,0.00200016,244.2,0.2788,0.1219,0.0061
ckg,it-management-graph,177,0.4186,0.00195491,230.1,0.2654,0.1275,0.005432
ckg,learning-linux,179,0.4628,0.002016,264.7,0.2988,0.1392,0.004935
ckg,linear-algebra,178,0.4496,0.00178254,287.6,0.3392,0.1407,0.007491
ckg,machine-learning-textbook,177,0.4379,0.00198598,246.0,0.2884,0.129,0.007142
ckg,microsims,177,0.4834,0.00209587,258.1,0.2873,0.1449,0.005527
ckg,modeling-healthcare-data,176,0.4373,0.0019165,247.7,0.2865,0.1442,0.006011
ckg,moss,176,0.5011,0.00200986,300.2,0.3346,0.1475,0.005865
ckg,organizational-analytics,177,0.4672,0.00190518,271.1,0.3063,0.1577,0.006442
ckg,personal-finance,175,0.4457,0.00196361,248.3,0.288,0.1399,0.005678
ckg,pre-calc,175,0.4727,0.00182821,310.2,0.3529,0.1582,0.007177
ckg,prompt-class,180,0.4934,0.00183532,308.0,0.3554,0.1679,0.006944
ckg,quantum-computing,48,0.3745,0.00135944,308.6,0.1021,0.1538,0.008253
ckg,reading-for-kindergarten,173,0.4624,0.00203158,243.0,0.2659,0.1339,0.004413
ckg,signal-processing,174,0.4115,0.00180113,248.4,0.2857,0.1184,0.006227
ckg,statistics-course,176,0.4434,0.00182995,289.7,0.3428,0.142,0.008203
ckg,systems-thinking,173,0.3575,0.0016213,231.1,0.2704,0.1182,0.00693
ckg,theory-of-knowledge,174,0.4182,0.00174042,283.5,0.3351,0.1332,0.009965
ckg,tracking-ai-course,163,0.4522,0.00190418,314.3,0.3238,0.1748,0.010534
ckg,us-geography,175,0.456,0.00213282,237.9,0.2583,0.1589,0.00585
rag,automating-instructional-design,175,0.0943,3.706e-05,3183.6,1.9417,0.7946,0.159419
rag,bioinformatics,177,0.0957,3.315e-05,3158.1,2.0488,0.7893,0.202743
rag,biology,175,0.1113,4.14e-05,3188.4,2.0419,0.7956,0.145734
rag,blockchain,176,0.1055,3.788e-05,3091.0,1.9671,0.8061,0.160583
rag,calculus,3,0.0,0,0.0,0.0,0,
rag,circuits,175,0.1212,4.289e-05,3060.6,1.9312,0.7888,0.123092
rag,conversational-ai,176,0.118,4.337e-05,3035.1,1.8967,0.8082,0.15024
rag,digital-citizenship,172,0.1368,5.139e-05,2955.9,1.7484,0.8352,0.093325
rag,ecology,176,0.0929,3.87e-05,3016.8,1.8605,0.8191,0.13996
rag,genetics,177,0.1226,4.119e-05,3168.7,2.0426,0.7835,0.15212
rag,geometry-course,175,0.1212,4.595e-05,2969.1,1.8407,0.8016,0.116185
rag,modeling-healthcare-data,176,0.1124,3.917e-05,3149.8,1.9831,0.8017,0.160192
rag,moss,176,0.1188,4.361e-05,3048.6,1.9254,0.8041,0.13114
rag,organizational-analytics,177,0.1078,4.091e-05,3026.2,1.9167,0.8095,0.1438
rag,prompt-class,180,0.1102,4.316e-05,2982.2,1.884,0.8162,0.121552
rag,quantum-computing,168,0.0937,3.463e-05,3200.1,2.0085,0.7906,0.169181
rag,statistics-course,177,0.1181,4.353e-05,3069.5,1.9329,0.805,0.128662
rag,systems-thinking,173,0.1158,6.617e-05,2192.4,1.2956,0.8026,0.081954
rag,theory-of-knowledge,175,0.0732,2.962e-05,3020.1,1.9153,0.81,0.205264
rag,tracking-ai-course,164,0.1239,4.823e-05,2906.7,1.6093,0.83,0.096187
rag,us-geography,176,0.1279,4.884e-05,2978.5,1.7982,0.8399,0.108034
